Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Std,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Min,Fwd IAT Total,Fwd IAT Min,Bwd IAT Total,Fwd PSH Flags,Fwd Header Length,Bwd Packets/s,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,Down/Up Ratio,Fwd Bytes/Bulk Avg,Bwd Bytes/Bulk Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Active Mean,Idle Std,Clase_ID,Nombre_Ataque,Chunk_ID
58012,80,6,357089.0,4,4,371.0,462.0,189.0,54.0,56.166603,54.0,2332.7517,22.403378,51012.715,775.0,245494.0,851.0,239256.0,0,80.0,11.201689,83.09097,1,0,0,0,0,0,1.0,0.0,0.0,4,371.0,4,65535.0,127.0,1,117000.5,3984.2244,12,Spoofing - DNS Spoofing,103
68,67,17,15838138.0,5,0,1710.0,0.0,342.0,342.0,0.0,0.0,107.96724,0.31569368,3959534.5,1114434.0,15838138.0,1114434.0,0.0,0,40.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,5,1710.0,0,0.0,0.0,5,0.0,1275269.1,9,Mirai,103
57621,57621,17,114000530.0,4,0,344.0,0.0,86.0,86.0,0.0,0.0,3.0175297,0.035087556,38000176.0,37986440.0,114000530.0,37986440.0,0.0,0,32.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,4,344.0,0,0.0,0.0,4,0.0,19005100.0,12,Spoofing - DNS Spoofing,103
57315,53,17,10341.0,1,1,88.0,104.0,88.0,88.0,0.0,104.0,18566.87,193.40489,0.0,0.0,0.0,0.0,0.0,0,8.0,96.702446,8.0,1,0,0,0,0,0,1.0,0.0,0.0,1,88.0,1,0.0,0.0,1,0.0,0.0,5,DDOS - ICMP Fragmentation,103
50194,443,6,8771557.0,26,18,15423.0,6224.0,1414.0,54.0,621.46844,54.0,2467.8628,5.0162134,203989.7,0.0,8771557.0,1.0,8618347.0,0,520.0,2.0520873,584.7091,1,0,0,0,0,0,0.6923077,13320.0,4846.0,26,15423.0,18,65535.0,1448.0,13,830322.75,1809350.5,12,Spoofing - DNS Spoofing,103
32925,80,6,0.0,1,0,54.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,54.0,0,1403.0,0.0,0,0.0,0.0,12,Spoofing - DNS Spoofing,103
443,60550,6,120472450.0,4,8,380.0,596.0,95.0,95.0,0.0,54.0,8.101438,0.09960784,10952041.0,1070.0,90445270.0,30139420.0,120471380.0,0,80.0,0.06640522,19.327585,1,0,0,0,0,0,2.0,0.0,0.0,4,380.0,8,8380.0,7149.0,4,22516332.0,6124.2427,12,Spoofing - DNS Spoofing,103
68,67,17,33410826.0,5,0,1710.0,0.0,342.0,342.0,0.0,0.0,51.181015,0.1496521,8352706.5,8026628.0,33410826.0,8026628.0,0.0,0,40.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,5,1710.0,0,0.0,0.0,5,0.0,3603939.2,0,Benign,103
68,67,17,8196404.0,4,0,1368.0,0.0,342.0,342.0,0.0,0.0,166.90247,0.4880189,2732134.8,1647570.0,8196404.0,1647570.0,0.0,0,32.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,4,1368.0,0,0.0,0.0,4,0.0,633306.0,9,Mirai,103
5353,5353,17,7005734.0,4,0,972.0,0.0,243.0,243.0,0.0,0.0,138.74348,0.5709609,2335244.8,1001851.0,7005734.0,1001851.0,0.0,0,32.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,4,972.0,0,0.0,0.0,4,0.0,470288.97,12,Spoofing - DNS Spoofing,103
5353,5353,17,7005739.0,4,0,972.0,0.0,243.0,243.0,0.0,0.0,138.7434,0.57096046,2335246.2,1001858.0,7005739.0,1001858.0,0.0,0,32.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,4,972.0,0,0.0,0.0,4,0.0,470278.6,12,Spoofing - DNS Spoofing,103
443,60550,6,120466360.0,4,8,380.0,596.0,95.0,95.0,0.0,54.0,8.101847,0.09961287,10951487.0,1068.0,90436630.0,30144572.0,120465170.0,0,80.0,0.06640858,19.327585,1,0,0,0,0,0,2.0,0.0,0.0,4,380.0,8,8380.0,7149.0,4,22520948.0,1628.8906,12,Spoofing - DNS Spoofing,103
68,67,17,42868344.0,6,0,2052.0,0.0,342.0,342.0,0.0,0.0,47.86749,0.13996342,8573669.0,8137062.0,42868344.0,8137062.0,0.0,0,48.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,6,2052.0,0,0.0,0.0,6,0.0,4089399.0,0,Benign,103
57621,57621,17,151973380.0,5,0,430.0,0.0,86.0,86.0,0.0,0.0,2.829443,0.0329005,37993344.0,37980520.0,151973380.0,37980520.0,0.0,0,40.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,5,430.0,0,0.0,0.0,5,0.0,18975984.0,12,Spoofing - DNS Spoofing,103
9240,53,17,11180.0,1,1,89.0,153.0,89.0,89.0,0.0,153.0,21645.797,178.89087,0.0,0.0,0.0,0.0,0.0,0,8.0,89.445435,32.0,1,0,0,0,0,0,1.0,0.0,0.0,1,89.0,1,0.0,0.0,1,0.0,0.0,14,Web-Based - Uploading Attack,103
36273,80,6,37154.0,4,2,272.0,140.0,74.0,66.0,3.4641016,66.0,11088.981,161.49002,7430.8,378.0,37154.0,378.0,0.0,0,80.0,53.830006,3.7712362,1,0,0,0,0,0,0.5,0.0,0.0,4,272.0,2,65535.0,114.0,0,0.0,2390.0,11,Spoofing - ARP Spoofing,103
38308,80,6,108002.0,2,1,254.0,54.0,200.0,54.0,73.0,54.0,2851.799,27.777264,54001.0,338.0,0.0,0.0,0.0,0,40.0,9.259088,68.82506,1,0,0,0,0,0,0.5,0.0,0.0,2,254.0,1,1403.0,0.0,1,0.0,0.0,12,Spoofing - DNS Spoofing,103
25525,53,17,11105.0,1,1,85.0,153.0,85.0,85.0,0.0,153.0,21431.787,180.09906,0.0,0.0,0.0,0.0,0.0,0,8.0,90.04953,34.0,1,0,0,0,0,0,1.0,0.0,0.0,1,85.0,1,0.0,0.0,1,0.0,0.0,14,Web-Based - Uploading Attack,103
42315,80,6,23278806.0,6,5,490.0,1057.0,200.0,54.0,53.421803,54.0,66.4553,0.47253284,2327880.5,2.0,23278806.0,6.0,23136952.0,0,120.0,0.21478765,148.19905,1,0,0,0,0,0,0.8333333,0.0,0.0,6,490.0,5,65535.0,62.0,1,110635.0,10798392.0,12,Spoofing - DNS Spoofing,103
42892,53,17,9119.0,1,1,78.0,110.0,78.0,78.0,0.0,110.0,20616.295,219.3223,0.0,0.0,0.0,0.0,0.0,0,8.0,109.66115,16.0,1,0,0,0,0,0,1.0,0.0,0.0,1,78.0,1,0.0,0.0,1,0.0,0.0,11,Spoofing - ARP Spoofing,103
6708,53,17,1252.0,1,1,78.0,110.0,78.0,78.0,0.0,110.0,150159.75,1597.4441,0.0,0.0,0.0,0.0,0.0,0,8.0,798.72205,16.0,1,0,0,0,0,0,1.0,0.0,0.0,1,78.0,1,0.0,0.0,1,0.0,0.0,11,Spoofing - ARP Spoofing,103
40116,123,17,179562.0,1,1,90.0,90.0,90.0,90.0,0.0,90.0,1002.4393,11.138214,0.0,0.0,0.0,0.0,0.0,0,8.0,5.569107,0.0,1,0,0,0,0,0,1.0,0.0,0.0,1,90.0,1,0.0,0.0,1,0.0,0.0,12,Spoofing - DNS Spoofing,103
42528,123,17,0.0,1,0,90.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,90.0,0,0.0,0.0,1,0.0,0.0,14,Web-Based - Uploading Attack,103
2075,53,17,9484.0,1,1,82.0,98.0,82.0,82.0,0.0,98.0,18979.334,210.88148,0.0,0.0,0.0,0.0,0.0,0,8.0,105.44074,8.0,1,0,0,0,0,0,1.0,0.0,0.0,1,82.0,1,0.0,0.0,1,0.0,0.0,11,Spoofing - ARP Spoofing,103
